,year,Locations State Code,Location State Abbreviation,Location County Code,Location County Name,Commodity Code,Commodity Name,Insurance Plan Code,Insurance Plan Abbreviation,Stage Code,Damage Cause Code,Damage Cause Description,Month of Loss,Month of Loss Abbreviation,Determined Acres,Indemnity Amount,month_year,Average Temperature,Total CDD,Total HDD,Total Precipitation,Avg PDSI
68,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,UH,12,Heat,5.0,MAY,4.88,10632.4,2016-05-01,62.2,33,159,0.77,-1.89
69,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,12,Heat,5.0,MAY,54.74,84509.4,2016-05-01,62.2,33,159,0.77,-1.89
70,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,UH,12,Heat,6.0,JUN,7.32,15948.6,2016-06-01,73.5,201,14,0.27,-1.88
71,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,13,Failure of Irrigation Supply,5.0,MAY,13.0,59274.0,2016-05-01,62.2,33,159,0.77,-1.89
72,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,UH,21,Hail,3.0,MAR,22.0,86210.0,2016-03-01,52.5,6,337,4.88,-2.08
73,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,21,Hail,3.0,MAR,63.91,69555.8,2016-03-01,52.5,6,337,4.88,-2.08
74,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,3.0,MAR,131.75,203773.5,2016-03-01,52.5,6,337,4.88,-2.08
75,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,6.0,JUN,0.5,-1201.0,2016-06-01,73.5,201,14,0.27,-1.88
76,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,UH,31,Excess Moisture/Precipitation/Rain,4.0,APR,3.6,8646.6,2016-04-01,57.9,22,213,1.52,-2.1
77,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,UH,31,Excess Moisture/Precipitation/Rain,3.0,MAR,2.4,5764.4,2016-03-01,52.5,6,337,4.88,-2.08
78,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,5.0,MAY,9.57,81208.0,2016-05-01,62.2,33,159,0.77,-1.89
79,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,31,Excess Moisture/Precipitation/Rain,4.0,APR,9.18,539.58,2016-04-01,57.9,22,213,1.52,-2.1
80,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,UH,31,Excess Moisture/Precipitation/Rain,6.0,JUN,5.5,18938.0,2016-06-01,73.5,201,14,0.27,-1.88
81,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,41,Frost,3.0,MAR,15.54,16466.7,2016-03-01,52.5,6,337,4.88,-2.08
82,2016,6,CA,19,Fresno,52,TABLE GRAPES,90.0,APH,H,61,Wind/Excess Wind,4.0,APR,6.0,5016.0,2016-04-01,57.9,22,213,1.52,-2.1
